Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
50B401A2  and eax,2ABC00                                                    "1.3.6.1.4.1.311.2.1.10"
50B41205  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B4183C  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B418E5  xor dword ptr ds:[edx+13AEF8E],29                                 "AC_INIT"
50B41950  mov esi,10B69729                                                  "es\Udyr_Spirit_Creep_Death_Turtle_Large.troybin"
50B42326  mov dword ptr ss:[esp],reco.52F2E9E0                              "bleShareKill"
50B42626  mov bh,byte ptr ds:[esi+13AAE8E]                                  "ON_FAILURE"
50B427B9  imul esi,edi,1A36D6B7                                             ";v"
50B429A8  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B42FDD  test dword ptr ds:[ebx],53AD646                                   L"INFO"
50B43017  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B430A1  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B430BE  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B43352  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B4336F  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B435B1  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B43769  mov esi,10EF11F3                                                  "dds"
50B44D97  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B45F9F  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B4637D  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B464C7  test dword ptr ds:[ebx],53AD646                                   L"INFO"
50B46501  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B478E1  test dword ptr ds:[ebx],53AD646                                   L"INFO"
50B479C0  xor dword ptr ds:[edx+13A148E],29                                 "ned entity"
50B47C4D  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B47E73  mov esi,10B69729                                                  "es\Udyr_Spirit_Creep_Death_Turtle_Large.troybin"
50B483F1  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B4844F  les ecx,dword ptr cs:[ebp+10BAE60E]                               "s\Hecarim\Skins\Skin03\Hecarim_headless.skl"
50B4899D  push league of leg.50CC5734                                       "map/set<T> too long"
50B48C35  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B48C86  test dword ptr ds:[ebx],53AD646                                   L"INFO"
50B48E4F  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B48FDD  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B492F8  shr dword ptr es:[ebx+10B54BCE],cl                                "troybin"
50B49462  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B494A4  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B4955F  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B495AF  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B49804  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
50B49BB4  mov eax,1118D322                                                  "rath_darkiron_magdrip.dds"
50B49C31  or dh,byte ptr ss:[esp+ebp*2+76C9A7B8]                            L"on\Internet Settings\SO\ACTIVE_CONTENT!PlugUIText"
50B4A2B5  idiv dword ptr ds:[edx+1118D326]                                  "_darkiron_magdrip.dds"
